Group,Participant,Time,Swimming,Flooding,Biodiversity,Water Quality
B,2,1:45:00,2,3,4,1
B,3,0:00:00,3.04,2.04,4.04,1.04
B,3,0:10:15,3.04,2.04,4.04,1.04
B,3,0:12:16,3.04,2.04,4.04,1.04
B,3,0:18:31,3.04,2.04,4.04,1.04
B,3,0:38:58,1.04,3.04,4.04,2.04
B,3,0:47:19,2.04,3.04,4.04,1.04
B,3,0:48:05,2.04,1.04,4.04,3.04
B,3,1:07:17,3.04,1.04,4.04,2.04
B,3,1:09:57,1.04,3.04,4.04,2.04
B,3,1:11:27,1.04,3.04,4.04,2.04
B,3,1:11:45,2.04,3.04,4.04,1.04
B,3,1:15:22,2.04,3.04,4.04,1.04
B,3,1:45:00,2.04,3.04,4.04,1.04
B,4,0:00:00,1.02,2.02,4.02,3.02
B,4,0:10:15,1.02,2.02,4.02,3.02
B,4,0:54:30,1.02,2.02,3.02,4.02
B,4,0:59:06,3.02,1.02,4.02,2.02
B,4,1:00:46,3.02,1.02,4.02,2.02
B,4,1:11:33,1.02,3.02,4.02,2.02
B,4,1:11:56,2.02,3.02,4.02,1.02
B,4,1:15:22,2.02,3.02,4.02,1.02
B,4,1:45:00,2.02,3.02,4.02,1.02
B,5,0:00:00,0.94,1.94,2.94,3.94
B,5,0:10:19,0.94,1.94,2.94,3.94
B,5,0:38:38,0.94,1.94,2.94,3.94
B,5,0:47:55,0.94,1.94,2.94,3.94
B,5,0:53:52,0.94,1.94,2.94,3.94
B,5,1:11:34,0.94,2.94,3.94,1.94
B,5,1:15:22,1.94,2.94,3.94,0.94
B,5,1:45:00,1.94,2.94,3.94,0.94
B,6,0:00:00,0.96,2.96,3.96,1.96
B,6,0:10:25,0.96,2.96,3.96,1.96
B,6,0:11:34,0.96,2.96,3.96,1.96
C,1,0:00:00,1.04,2.04,4.04,3.04
C,1,0:12:05,1.04,2.04,4.04,3.04
C,1,0:31:30,1.04,2.04,4.04,3.04
C,1,0:32:48,1.04,2.04,4.04,3.04
C,1,0:39:35,3.04,1.04,4.04,2.04
C,1,0:51:04,3.04,1.04,4.04,2.04
C,1,0:53:08,3.04,1.04,4.04,2.04
C,1,0:56:53,3.04,1.04,4.04,2.04
C,1,1:07:50,1.04,3.04,4.04,2.04
C,1,1:11:26,1.04,3.04,4.04,2.04
C,1,1:15:34,2.04,3.04,4.04,1.04
C,1,1:16:41,2.04,3.04,4.04,1.04
C,1,1:20:00,2.04,3.04,4.04,1.04
C,2,0:00:00,1.06,2.06,3.06,4.06
C,2,0:12:23,1.06,2.06,3.06,4.06
C,2,0:31:34,1.06,2.06,4.06,3.06
C,2,0:33:15,1.06,2.06,4.06,3.06
C,2,0:51:04,1.06,2.06,4.06,3.06
C,2,0:51:12,2.06,1.06,4.06,3.06
C,2,0:53:08,2.06,1.06,4.06,3.06
C,2,0:58:28,2.06,1.06,4.06,3.06
C,2,1:09:35,1.06,2.06,4.06,3.06
C,2,1:11:39,1.06,3.06,4.06,2.06
C,2,1:15:22,2.06,3.06,4.06,1.06
C,2,1:16:41,2.06,3.06,4.06,1.06
C,2,1:20:00,2.06,3.06,4.06,1.06
C,3,0:00:00,1.98,0.98,2.98,3.98
C,3,0:12:23,1.98,0.98,2.98,3.98
C,3,0:14:04,1.98,0.98,2.98,3.98
C,3,0:16:28,1.98,0.98,2.98,3.98
C,3,0:51:04,1.98,0.98,3.98,2.98
C,3,0:53:08,1.98,0.98,3.98,2.98
C,3,0:59:10,1.98,0.98,3.98,2.98
C,3,1:00:56,1.98,0.98,3.98,2.98
C,3,1:06:10,1.98,0.98,3.98,2.98
C,3,1:07:43,0.98,1.98,3.98,2.98
C,3,1:11:25,0.98,2.98,3.98,1.98
C,3,1:13:50,1.98,2.98,3.98,0.98
C,3,1:16:41,1.98,2.98,3.98,0.98
C,3,1:20:00,1.98,2.98,3.98,0.98
C,4,0:00:00,2.94,1.94,3.94,0.94
C,4,0:12:05,2.94,1.94,3.94,0.94
C,4,0:16:00,2.94,1.94,3.94,0.94
C,4,0:25:36,2.94,1.94,3.94,0.94
C,4,0:31:30,2.94,1.94,3.94,0.94
C,4,0:33:58,2.94,1.94,3.94,0.94
C,4,0:37:30,2.94,1.94,3.94,0.94
C,4,0:45:32,1.94,2.94,3.94,0.94
C,4,0:51:04,1.94,2.94,3.94,0.94
C,4,0:53:08,1.94,2.94,3.94,0.94
C,4,0:57:36,1.94,2.94,3.94,0.94
C,4,1:03:36,1.94,2.94,3.94,0.94
C,4,1:07:13,1.94,2.94,3.94,0.94
C,4,1:09:17,1.94,2.94,3.94,0.94
C,4,1:11:24,1.94,2.94,3.94,0.94
C,4,1:14:37,1.94,2.94,3.94,0.94
C,4,1:16:41,1.94,2.94,3.94,0.94
C,4,1:20:00,1.94,2.94,3.94,0.94
C,5,0:00:00,3.96,1.96,2.96,0.96
C,5,0:12:05,2.96,1.96,3.96,0.96
C,5,0:15:28,2.96,1.96,3.96,0.96
C,5,0:31:30,2.96,1.96,3.96,0.96
C,5,0:34:50,2.96,1.96,3.96,0.96
C,5,0:51:04,2.96,1.96,3.96,0.96
C,5,0:53:08,2.96,1.96,3.96,0.96
C,5,0:59:37,2.96,1.96,3.96,0.96
C,5,1:11:23,1.96,2.96,3.96,0.96
C,5,1:16:41,1.96,2.96,3.96,0.96
C,5,1:20:00,1.96,2.96,3.96,0.96
C,6,0:00:00,1.02,2.02,3.02,4.02
C,6,0:12:26,1.02,2.02,3.02,4.02
C,6,0:31:30,1.02,2.02,4.02,3.02
C,6,0:51:04,1.02,2.02,4.02,3.02
C,6,0:53:08,1.02,2.02,4.02,3.02
D,1,0:00:00,2.02,1.02,4.02,3.02
D,1,0:18:55,1.02,2.02,4.02,3.02
D,1,0:29:46,0,0,0,0
D,1,0:29:46,0,0,0,0
D,1,0:39:50,1.02,2.02,4.02,3.02
D,1,0:40:19,1.02,2.02,4.02,3.02
D,1,0:42:00,2.02,3.02,4.02,1.02
D,1,0:44:37,1.02,2.02,4.02,3.02
D,1,0:46:12,1.02,2.02,4.02,3.02
D,1,0:54:31,0,0,0,0
D,1,0:55:31,1.02,2.02,4.02,3.02
D,1,0:56:34,1.02,3.02,4.02,2.02
D,1,0:57:20,0,0,0,0
D,1,1:06:27,0,0,0,0
D,1,1:10:57,0,0,0,0
D,1,1:10:57,0,0,0,0
D,1,1:11:18,2.02,3.02,4.02,1.02
D,1,1:20:22,0,0,0,0
D,1,1:20:22,0,0,0,0
D,1,1:21:29,0,0,0,0
D,1,1:22:19,3.02,2.02,4.02,1.02
D,1,1:22:22,0,0,0,0
D,1,1:22:22,0,0,0,0
D,1,1:23:17,0,0,0,0
D,1,1:25:35,0,0,0,0
D,1,1:25:35,0,0,0,0
D,1,1:28:58,2.02,3.02,4.02,1.02
D,1,1:33:18,0,0,0,0
D,1,1:34:01,0,0,0,0
D,1,1:36:29,2.02,3.02,4.02,1.02
D,1,1:20:00,2.02,3.02,4.02,1.02
D,2,0:00:00,2.98,0.98,1.98,3.98
D,2,0:19:06,2.98,0.98,1.98,3.98
D,2,0:19:06,0,0,0,0
D,2,0:21:17,0,0,0,0
D,2,0:21:17,0,0,0,0
D,2,0:21:17,0,0,0,0
D,2,0:21:17,0,0,0,0
D,2,0:22:06,3.98,0.98,1.98,2.98
D,2,0:22:57,3.98,0.98,1.98,2.98
D,2,0:40:34,3.98,1.98,2.98,0.98
D,2,0:40:34,0,0,0,0
D,2,0:40:34,0,0,0,0
D,2,0:43:14,3.98,1.98,2.98,0.98
D,2,0:52:52,0,0,0,0
D,2,0:56:40,3.98,1.98,2.98,0.98
D,2,1:03:00,0,0,0,0
D,2,1:03:04,3.98,1.98,2.98,0.98
D,2,1:05:06,3.98,1.98,2.98,0.98
D,2,1:17:18,3.98,2.98,1.98,0.98
D,2,1:22:59,0,0,0,0
D,2,1:23:06,1.98,3.98,2.98,0.98
D,2,1:23:27,0,0,0,0
D,2,1:27:26,0,0,0,0
D,2,1:28:19,0,0,0,0
D,2,1:30:18,2.98,3.98,1.98,0.98
D,2,1:31:36,0,0,0,0
D,2,1:33:56,0,0,0,0
D,2,1:36:29,1.98,2.98,3.98,0.98
D,2,1:20:00,1.98,2.98,3.98,0.98
D,3,0:00:00,2,3,4,1
D,3,0:25:37,0,0,0,0
D,3,0:25:37,0,0,0,0
D,3,0:29:56,0,0,0,0
D,3,0:31:18,0,0,0,0
D,3,0:31:18,0,0,0,0
D,3,0:35:25,0,0,0,0
D,3,0:40:19,1,2,4,3
D,3,0:42:58,1,2,4,3
D,3,0:43:38,1,2,4,3
D,3,0:43:38,0,0,0,0
D,3,0:44:42,1,2,4,3
D,3,0:45:42,0,0,0,0
D,3,0:46:56,0,0,0,0
D,3,0:46:56,0,0,0,0
D,3,0:56:26,1,2,4,3
D,3,0:56:44,1,3,4,2
D,3,1:05:14,1,2,4,3
D,3,1:05:15,0,0,0,0
D,3,1:09:55,2,3,4,1
D,3,1:11:39,0,0,0,0
D,3,1:11:39,0,0,0,0
D,3,1:13:55,0,0,0,0
D,3,1:19:00,2,3,4,1
D,3,1:21:57,0,0,0,0
D,3,1:21:59,2,3,4,1
D,3,1:24:08,0,0,0,0
D,3,1:31:17,2,3,4,1
D,3,1:36:29,2,3,4,1
D,3,1:20:00,2,3,4,1
D,4,0:00:00,3.94,0.94,1.94,2.94
D,4,0:19:00,3.94,0.94,1.94,2.94
D,4,0:22:08,3.94,0.94,1.94,2.94
D,4,0:25:31,0,0,0,0
D,4,0:28:29,0,0,0,0
D,4,0:28:29,0,0,0,0
D,4,0:40:06,3.94,0.94,1.94,2.94
D,4,0:43:33,3.94,0.94,1.94,2.94
D,4,0:43:33,0,0,0,0
D,4,0:44:25,0,0,0,0
D,4,0:44:25,0,0,0,0
D,4,0:44:25,0,0,0,0
D,4,0:46:24,0,0,0,0
D,4,0:46:24,0,0,0,0
D,4,0:49:55,1.94,0.94,3.94,2.94
D,4,0:55:21,0,0,0,0
D,4,0:55:42,0.94,1.94,3.94,2.94
D,4,0:56:46,0.94,2.94,3.94,1.94
D,4,1:01:49,0,0,0,0
D,4,1:02:00,0.94,1.94,3.94,2.94
D,4,1:03:25,0,0,0,0
D,4,1:05:03,0.94,1.94,3.94,2.94
D,4,1:12:25,1.94,2.94,3.94,0.94
D,4,1:13:04,2.94,1.94,3.94,0.94
D,4,1:13:45,0,0,0,0
D,4,1:18:06,1.94,2.94,3.94,0.94
D,4,1:21:24,0,0,0,0
D,4,1:21:25,1.94,2.94,3.94,0.94
D,4,1:36:29,1.94,2.94,3.94,0.94
D,4,1:20:00,1.94,2.94,3.94,0.94
D,5,0:00:00,1.04,2.04,3.04,4.04
D,5,0:18:57,1.04,2.04,3.04,4.04
D,5,0:20:55,1.04,2.04,3.04,4.04
D,5,0:20:55,0,0,0,0
D,5,0:20:55,0,0,0,0
D,5,0:20:55,0,0,0,0
D,5,0:20:55,0,0,0,0
D,5,0:22:14,0,0,0,0
D,5,0:22:14,0,0,0,0
D,5,0:26:33,1.04,3.04,2.04,4.04
